date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2002%20Aug%202021%2014:09:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/dunder2/www.googletagmanager.com/gtm.175445.delayed	(from https://niftymarketing.com/)
19:09:53	108021/108021	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:51%20GMT	https://niftymarketing.com/about-us/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/about-us/index.html	(from https://niftymarketing.com/)
19:09:54	29790/29790	---M--	200	added ('OK')	image/jpeg	etag:%225e4f2fac-745e%22	https://niftymarketing.com/wp-content/uploads/2019/11/testi-header1.jpg	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2019/11/testi-header1.jpg	(from https://niftymarketing.com/)
19:09:55	102553/102553	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:52%20GMT	https://niftymarketing.com/law-firm-content-marketing/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/law-firm-content-marketing/index.html	(from https://niftymarketing.com/)
19:09:55	106441/106441	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:52%20GMT	https://niftymarketing.com/services/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/services/index.html	(from https://niftymarketing.com/)
19:09:55	116089/116089	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:52%20GMT	https://niftymarketing.com/law-firm-seo/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/law-firm-seo/index.html	(from https://niftymarketing.com/)
19:09:57	100499/100499	---M--	200	added ('OK')	image/jpeg	etag:%225e4f2faa-18893%22	https://niftymarketing.com/wp-content/uploads/2019/11/header-bg.jpg	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2019/11/header-bg.jpg	(from https://niftymarketing.com/)
19:09:57	109095/109095	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:54%20GMT	https://niftymarketing.com/law-firm-web-design/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/law-firm-web-design/index.html	(from https://niftymarketing.com/)
19:09:58	102326/102326	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:54%20GMT	https://niftymarketing.com/local-seo-for-law-firms/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/local-seo-for-law-firms/index.html	(from https://niftymarketing.com/)
19:09:58	107190/107190	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:55%20GMT	https://niftymarketing.com/law-firm-digital-advertising/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/law-firm-digital-advertising/index.html	(from https://niftymarketing.com/)
19:09:58	95461/95461	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:56%20GMT	https://niftymarketing.com/law-firm-reputation-monitoring/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/law-firm-reputation-monitoring/index.html	(from https://niftymarketing.com/)
19:09:59	83798/83798	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:57%20GMT	https://niftymarketing.com/testimonials/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/testimonials/index.html	(from https://niftymarketing.com/)
19:09:59	104975/104975	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:57%20GMT	https://niftymarketing.com/video-for-law-firms/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/video-for-law-firms/index.html	(from https://niftymarketing.com/)
19:10:00	88466/88466	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:57%20GMT	https://niftymarketing.com/portfolio/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/portfolio/index.html	(from https://niftymarketing.com/)
19:10:00	119083/119083	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:57%20GMT	https://niftymarketing.com/naqvi-case-study/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/naqvi-case-study/index.html	(from https://niftymarketing.com/)
19:10:00	109997/109997	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:58%20GMT	https://niftymarketing.com/goldstein-case-study/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/goldstein-case-study/index.html	(from https://niftymarketing.com/)
19:10:02	139945/139945	---M--	200	added ('OK')	image/png	etag:%225e4f2fab-222a9%22	https://niftymarketing.com/wp-content/uploads/2019/11/naqvi-full.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2019/11/naqvi-full.png	(from https://niftymarketing.com/)
19:10:02	108354/108354	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:58%20GMT	https://niftymarketing.com/walthew-case-study/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/walthew-case-study/index.html	(from https://niftymarketing.com/)
19:10:02	114626/114626	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:10:00%20GMT	https://niftymarketing.com/case-study-el-dabe/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/case-study-el-dabe/index.html	(from https://niftymarketing.com/)
19:10:03	83569/83569	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:10:00%20GMT	https://niftymarketing.com/two-minute-tuesdays/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/two-minute-tuesdays/index.html	(from https://niftymarketing.com/)
19:10:03	114154/114154	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:10:01%20GMT	https://niftymarketing.com/creative-marketing-ideas-for-lawyers-during-covid-19/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/creative-marketing-ideas-for-lawyers-during-covid-19/index.html	(from https://niftymarketing.com/)
19:10:04	96868/96868	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:10:02%20GMT	https://niftymarketing.com/contact/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/contact/index.html	(from https://niftymarketing.com/)
19:10:04	2398/2398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e4f2fb5-95e%22	https://niftymarketing.com/wp-content/themes/twentynineteen-child/resources/naqvi-logo.svg	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/themes/twentynineteen-child/resources/naqvi-logo.svg	(from https://niftymarketing.com/)
19:10:04	1442/1442	---M--	200	added ('OK')	image/png	etag:%225e4f2fac-5a2%22	https://niftymarketing.com/wp-content/uploads/2019/10/tile-1.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2019/10/tile-1.png	(from https://niftymarketing.com/)
19:10:05	95411/95411	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:10:02%20GMT	https://niftymarketing.com/work-from-home-like-a-boss-law-firm-edition/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/work-from-home-like-a-boss-law-firm-edition/index.html	(from https://niftymarketing.com/)
19:10:05	82925/82925	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:10:03%20GMT	https://niftymarketing.com/blog/	C:/My%20Web%20Sites/dunder2/niftymarketing.com/blog/index.html	(from https://niftymarketing.com/)
19:10:07	223442/223442	---M--	200	added ('OK')	image/png	etag:%225e4f2fab-368d2%22	https://niftymarketing.com/wp-content/uploads/2019/11/joshua-goldstein.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2019/11/joshua-goldstein.png	(from https://niftymarketing.com/)
